policy,seed,success,collision,timeout,n_steps,total_reward,gcr
intention_rl,41,1,0,0,36,9.686,0.1111
intention_rl,42,1,0,0,40,27.344,0.0
intention_rl,43,1,0,0,37,26.798,0.0
intention_rl,44,0,1,0,21,-22.839,0.0952
intention_rl,45,1,0,0,76,53.096,0.0395
intention_rl,46,1,0,0,59,36.116,0.0
intention_rl,47,1,0,0,127,101.704,0.0
intention_rl,48,1,0,0,66,36.457,0.0
intention_rl,49,1,0,0,63,35.955,0.0
intention_rl,50,1,0,0,59,38.338,0.0
intention_rl,51,0,1,0,17,-13.02,0.0
intention_rl,52,1,0,0,79,53.963,0.0
intention_rl,53,0,1,0,56,-21.451,0.0714
intention_rl,54,1,0,0,56,48.204,0.0
intention_rl,55,1,0,0,83,69.933,0.0
intention_rl,56,1,0,0,58,35.84,0.0
intention_rl,57,0,1,0,12,-17.203,0.0
intention_rl,58,0,1,0,17,8.146,0.0
intention_rl,59,1,0,0,58,37.993,0.0
intention_rl,60,0,1,0,16,-14.613,0.0
intention_rl,61,1,0,0,69,40.957,0.0
intention_rl,62,0,1,0,21,-25.004,0.1905
intention_rl,63,1,0,0,60,36.503,0.0
intention_rl,64,0,1,0,43,7.688,0.0
intention_rl,65,1,0,0,67,35.951,0.0448
intention_rl,66,1,0,0,62,45.662,0.0
intention_rl,67,1,0,0,42,27.809,0.0
intention_rl,68,1,0,0,89,46.729,0.0
intention_rl,69,1,0,0,40,26.626,0.0
intention_rl,70,1,0,0,56,30.934,0.0
intention_rl,71,1,0,0,78,26.087,0.0513
intention_rl,72,1,0,0,88,10.021,0.1023
intention_rl,73,0,1,0,40,-1.566,0.0
intention_rl,74,1,0,0,60,37.371,0.0
intention_rl,75,1,0,0,71,44.647,0.0
intention_rl,76,1,0,0,78,43.295,0.0
intention_rl,77,1,0,0,57,39.226,0.0
intention_rl,78,1,0,0,67,50.024,0.0
intention_rl,79,1,0,0,51,39.588,0.0
intention_rl,80,1,0,0,44,31.355,0.0
intention_rl,81,1,0,0,72,25.975,0.0
intention_rl,82,1,0,0,71,36.853,0.0
intention_rl,83,1,0,0,61,35.635,0.0
intention_rl,84,1,0,0,52,28.978,0.0
intention_rl,85,0,1,0,15,-15.079,0.0
intention_rl,86,1,0,0,67,39.739,0.0
intention_rl,87,1,0,0,82,42.384,0.0
intention_rl,88,1,0,0,69,25.691,0.0145
intention_rl,89,1,0,0,50,43.248,0.0
intention_rl,90,1,0,0,53,31.57,0.0
intention_rl,91,1,0,0,50,28.63,0.0
intention_rl,92,1,0,0,42,27.788,0.0
intention_rl,93,1,0,0,48,1.514,0.125
intention_rl,94,1,0,0,43,29.717,0.0
intention_rl,95,1,0,0,52,32.129,0.0
intention_rl,96,0,1,0,37,4.572,0.0
intention_rl,97,0,1,0,38,-1.744,0.0
intention_rl,98,1,0,0,52,27.246,0.0
intention_rl,99,1,0,0,62,32.667,0.0
intention_rl+taga,0,1,0,0,56,25.646,0.0
intention_rl+taga,1,1,0,0,48,28.464,0.0
intention_rl+taga,2,1,0,0,108,34.736,0.0
intention_rl+taga,3,1,0,0,47,34.953,0.0
intention_rl+taga,4,1,0,0,55,33.333,0.0
